Simulation started at 0 with time steps from 0 to 10.
Initial probability density range: vmin=4.810183784379681e-86, vmax=0.6355882989985056.
Step 277, Time = 0.28, ProbDensSum = 1.0000, Center = (-2.1796, 1.4433)
Step 278, Time = 0.28, ProbDensSum = 1.0000, Center = (-2.1877, 1.4292)
Step 279, Time = 0.28, ProbDensSum = 1.0000, Center = (-2.1957, 1.4151)
Step 280, Time = 0.28, ProbDensSum = 1.0000, Center = (-2.2036, 1.4009)
Snapshot saved for time step 280.
Step 281, Time = 0.28, ProbDensSum = 1.0000, Center = (-2.2115, 1.3867)
Step 282, Time = 0.28, ProbDensSum = 1.0000, Center = (-2.2192, 1.3724)
Step 283, Time = 0.28, ProbDensSum = 1.0000, Center = (-2.2268, 1.3581)
Step 284, Time = 0.28, ProbDensSum = 1.0000, Center = (-2.2343, 1.3438)
Step 285, Time = 0.29, ProbDensSum = 1.0000, Center = (-2.2417, 1.3294)
Step 286, Time = 0.29, ProbDensSum = 1.0000, Center = (-2.2491, 1.3149)
Step 287, Time = 0.29, ProbDensSum = 1.0000, Center = (-2.2563, 1.3004)
Step 288, Time = 0.29, ProbDensSum = 1.0000, Center = (-2.2634, 1.2859)
Step 289, Time = 0.29, ProbDensSum = 1.0000, Center = (-2.2704, 1.2713)
Step 290, Time = 0.29, ProbDensSum = 1.0000, Center = (-2.2773, 1.2567)
Snapshot saved for time step 290.
Step 291, Time = 0.29, ProbDensSum = 1.0000, Center = (-2.2842, 1.2421)
Step 292, Time = 0.29, ProbDensSum = 1.0000, Center = (-2.2909, 1.2274)
Step 293, Time = 0.29, ProbDensSum = 1.0000, Center = (-2.2975, 1.2127)
Step 294, Time = 0.29, ProbDensSum = 1.0000, Center = (-2.3040, 1.1979)
Step 295, Time = 0.30, ProbDensSum = 1.0000, Center = (-2.3104, 1.1831)
Step 296, Time = 0.30, ProbDensSum = 1.0000, Center = (-2.3168, 1.1683)
Step 297, Time = 0.30, ProbDensSum = 1.0000, Center = (-2.3230, 1.1535)
Step 298, Time = 0.30, ProbDensSum = 1.0000, Center = (-2.3291, 1.1386)
Step 299, Time = 0.30, ProbDensSum = 1.0000, Center = (-2.3351, 1.1236)
Step 300, Time = 0.30, ProbDensSum = 1.0000, Center = (-2.3410, 1.1086)
Snapshot saved for time step 300.
Step 301, Time = 0.30, ProbDensSum = 1.0000, Center = (-2.3468, 1.0936)
Step 302, Time = 0.30, ProbDensSum = 1.0000, Center = (-2.3525, 1.0786)
Step 303, Time = 0.30, ProbDensSum = 1.0000, Center = (-2.3581, 1.0635)
